color_name,rgb
W6,"[136, 191, 128]"
W7,"[128, 153, 114]"
W8,"[97, 129, 73]"
W9,"[104, 137, 61]"
X1,"[237, 226, 222]"
X2,"[210, 210, 210]"
X3,"[172, 162, 162]"
X4,"[157, 146, 142]"
X5,"[152, 164, 154]"
X6,"[121, 150, 141]"
X7,"[135, 141, 144]"
X8,"[121, 141, 136]"
X9,"[91, 136, 121]"
Y1,"[166, 64, 76]"
Y2,"[193, 71, 48]"
Y3,"[192, 125, 104]"
Y4,"[201, 123, 73]"
Y5,"[209, 144, 61]"
Y6,"[210, 165, 83]"
Y7,"[184, 137, 142]"
Y8,"[167, 125, 131]"
Y9,"[157, 110, 113]"
Z1,"[192, 132, 119]"
Z2,"[236, 154, 127]"
Z3,"[228, 157, 131]"
Z4,"[224, 172, 148]"
Z5,"[219, 189, 183]"
Z6,"[236, 202, 192]"
Z7,"[235, 186, 167]"
Z8,"[255, 225, 205]"
Z9,"[255, 232, 209]"
